City_ID,City,lat,lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,santa cruz,-17.8,-63.1667,30.7,66,40,6.69,BO,1712785740
83,lamu,-2.2717,40.902,28.07,85,100,3.74,KE,1712786029
84,georgetown,5.4112,100.3354,27.75,88,20,2.06,MY,1712786029
85,hami,42.8,93.45,11.3,42,3,5.06,CN,1712786029
86,talnakh,69.4865,88.3972,-32.05,100,81,1.78,RU,1712786030
87,ust-nera,64.5667,143.2,-11.69,95,82,2.78,RU,1712786030
88,nykoping,58.753,17.0079,6.92,70,0,8.23,SE,1712786030
89,aasiaat,68.7098,-52.8699,-7.91,80,100,2.39,GL,1712786030
90,san patricio,28.017,-97.5169,27.92,30,0,11.19,US,1712786030
91,invercargill,-46.4,168.35,10.57,98,100,6.26,NZ,1712785842
92,herkimer,43.0256,-74.986,15.91,100,100,1.34,US,1712786030
93,uturoa,-16.7333,-151.4333,29.09,77,23,8.6,PF,1712786030
94,argo,37.6333,22.7333,16.24,49,100,1.71,GR,1712786031
95,manaure,11.7751,-72.4445,32.84,44,19,9.3,CO,1712786031
96,glendive,47.1053,-104.7125,9.54,87,100,9.77,US,1712786031
97,bryan,30.6744,-96.37,20.97,65,75,7.2,US,1712785819
98,chail,25.4333,81.6333,27.67,22,56,2.31,IN,1712786031
99,iskateley,67.6803,53.1512,-13.88,96,100,2.68,RU,1712786031
100,olyokminsk,60.3736,120.4264,-4.66,91,98,1.89,RU,1712786031
101,ixtapa,20.7,-105.2,30.25,39,0,3.97,MX,1712785736
102,tolanaro,-25.0319,46.9987,23.04,94,0,1.54,MG,1712786031
103,guercif,34.2257,-3.3536,16.8,39,40,3.35,MA,1712786032
104,praia da vitoria,38.7333,-27.0667,18.14,88,75,8.31,PT,1712786032
105,carnarvon,-24.8667,113.6333,23.23,59,0,4.28,AU,1712786032
106,crucecita,-28.95,-58.9833,18.9,96,100,7.45,AR,1712786032
107,matoury,4.8483,-52.3317,27.98,89,75,2.06,GF,1712786032
108,keflavik,64.0049,-22.5624,4.95,75,100,3.09,IS,1712786032
109,tazovsky,67.4667,78.7,-31.35,100,62,2.63,RU,1712785850
110,magadan,59.5667,150.8,-9.15,70,36,2.4,RU,1712786032
111,kone,-21.0595,164.8658,25.51,91,98,2.16,NC,1712786032
112,tazacorte,28.629,-17.9293,19.54,83,100,6.69,ES,1712786032
113,port elizabeth,-33.918,25.5701,15.17,83,75,3.09,ZA,1712786033
114,puerto armuelles,8.2833,-82.8667,30.99,71,100,1.34,PA,1712785818
115,whakatane,-37.9585,176.9854,20.99,98,100,3.13,NZ,1712786033
116,sault ste. marie,46.5168,-84.3333,17.31,51,100,3.09,CA,1712785743
117,kingston,17.997,-76.7936,30.53,73,20,11.83,JM,1712785766
118,buzdyak,54.5833,54.55,3.52,96,8,2.66,RU,1712786033
119,nemuro,43.3236,145.575,3.04,69,51,3.8,JP,1712786033
120,ongjin,37.9347,125.3619,9.57,88,100,2.76,KP,1712786033
121,labrador city,52.9463,-66.9114,4.95,28,0,2.57,CA,1712786034
122,jefferson city,38.5767,-92.1735,17.61,55,100,2.06,US,1712785956
123,sandnessjoen,66.0217,12.6316,5.29,87,75,7.2,NO,1712786034
124,st. john's,47.5649,-52.7093,0.38,82,40,4.63,CA,1712785836
125,westport,41.1415,-73.3579,18.95,65,75,6.69,US,1712786034
126,longyearbyen,78.2186,15.6401,-15.09,78,0,6.17,SJ,1712786034
127,nar'yan-mar,67.6713,53.087,-13.83,96,100,2.68,RU,1712786034
128,thompson,55.7435,-97.8558,12.09,37,75,4.63,CA,1712786034
129,tinghir,31.5157,-5.5343,18.15,9,2,2.12,MA,1712786034
130,ghat,24.9647,10.1728,25.4,30,96,5.15,LY,1712786034
131,howard springs,-12.497,131.047,22.15,78,100,2.58,AU,1712786034
132,borgarnes,64.5383,-21.9206,5.03,78,100,3.95,IS,1712786035
133,fort bragg,35.139,-79.006,26.08,49,40,4.63,US,1712786035
134,brandon,27.9378,-82.2859,30.16,71,100,4.12,US,1712785767
135,isafjordur,66.0755,-23.124,-4.19,87,43,2.4,IS,1712786035
136,catriel,-37.8791,-67.7956,13.79,28,100,3.61,AR,1712786035
137,oulainen,64.2667,24.8,4.89,90,100,5.6,FI,1712786035
138,shakawe,-18.3667,21.85,20.75,78,93,1.89,BW,1712786035
139,fairmont,39.4851,-80.1426,20.71,76,98,2.01,US,1712786035
140,chittaranjan,23.8667,86.8667,27.67,22,97,1.39,IN,1712786035
141,santa terezinha,-29.9002,-50.0904,22.4,84,100,4.42,BR,1712786036
142,tindouf,27.6711,-8.1474,31.25,14,0,5.66,DZ,1712786036
143,saint-francois,46.4154,3.9054,5.69,76,0,1.03,FR,1712786036
144,pangai,-19.8,-174.35,28.06,78,20,4.12,TO,1712786036
145,margaret river,-33.95,115.0667,13.64,75,17,5.33,AU,1712786036
146,laojunmiao,39.8333,97.7333,8.99,18,77,3.74,CN,1712786036
147,kalmunai,7.4167,81.8167,26.17,85,100,1.64,LK,1712786036
148,fort-shevchenko,44.5086,50.263,16.19,47,100,6.61,KZ,1712786036
149,puerto carreno,6.189,-67.4859,37.99,32,20,3.09,CO,1712785805
150,new norfolk,-42.7826,147.0587,9.84,82,83,0.36,AU,1712786036
151,hotan,37.0997,79.9269,14.7,16,70,0.98,CN,1712786037
152,orange,33.7,-117.7675,32.1,28,0,4.63,US,1712785990
153,san jose de guanipa,8.8872,-64.1651,35.28,28,13,4.82,VE,1712786037
154,uchiza,-8.4592,-76.4633,28.16,76,31,1.28,PE,1712786037
155,east london,-33.0153,27.9116,16.71,75,100,8.6,ZA,1712786037
156,tidjikja,18.5564,-11.4271,31.3,14,0,4.18,MR,1712786037
157,vilyuysk,63.7553,121.6247,0.56,94,100,5.36,RU,1712786037
158,avarua,-21.2078,-159.775,29.03,84,75,10.8,CK,1712786038
159,al qusayr,34.5091,36.5798,12.73,79,16,0.94,SY,1712786038
160,shiida,33.6534,131.058,13.99,74,100,1.47,JP,1712786038
161,qarauyl,48.9451,79.255,5.42,83,100,4.09,KZ,1712786038
162,xishan,27.6667,113.5,17.83,90,100,0.29,CN,1712786038
163,namibe,-15.1961,12.1522,22.2,70,3,3.15,AO,1712786038
164,yakeshi,49.2833,120.7333,-3.28,84,78,1.73,CN,1712786038
165,yambio,4.5721,28.3955,22.92,50,16,1.35,SS,1712786038
166,canico,32.6333,-16.85,20.62,49,20,7.2,PT,1712786038
167,balikpapan,-1.2675,116.8289,25.55,83,20,1.03,ID,1712786038
168,chonchi,-42.6128,-73.8092,15.56,70,0,0.81,CL,1712786038
169,kodinsk,58.6881,99.1844,-3.09,95,98,2.69,RU,1712786038
170,coquimbo,-29.9533,-71.3436,15.85,82,75,3.09,CL,1712786039
171,soledad,10.9184,-74.7646,31.07,66,0,7.2,CO,1712786039
172,la villa del rosario,10.3258,-72.3134,36.0,35,77,6.26,VE,1712786039
173,carbonear,47.7332,-53.2148,0.64,69,90,3.15,CA,1712786039
174,lebu,-37.6167,-73.65,12.98,71,92,2.14,CL,1712786039
175,coahuayana de hidalgo,18.7,-103.6583,28.29,54,37,3.13,MX,1712786039
176,flying fish cove,-10.4217,105.6791,25.82,88,75,3.6,CX,1712786039
177,taltal,-25.4,-70.4833,18.96,77,64,2.13,CL,1712786039
178,chinde,26.8418,88.0763,17.62,25,18,3.08,NP,1712786039
179,severo-yeniseyskiy,60.3725,93.0408,-18.77,100,100,1.36,RU,1712786039
180,villa gesell,-37.2639,-56.973,14.47,58,65,7.05,AR,1712786039
181,afaahiti,-17.75,-149.2833,27.93,84,100,8.24,PF,1712786040
182,sao joao da barra,-21.6403,-41.0511,27.05,85,0,4.44,BR,1712786040
183,greymouth,-42.4667,171.2,15.86,89,100,3.77,NZ,1712786040
184,huarmey,-10.0681,-78.1522,23.96,79,78,4.28,PE,1712786040
185,chibougamau,49.9168,-74.3659,9.79,50,0,5.14,CA,1712786040
186,saint-louis,16.3333,-15.0,33.8,27,0,5.9,SN,1712786040
187,udachny,66.4167,112.4,-24.75,94,90,10.11,RU,1712786040
188,ribeira grande,38.5167,-28.7,17.22,88,75,8.49,PT,1712786040
189,mallawi,27.7314,30.8417,19.91,40,5,2.8,EG,1712786041
190,dunedin,-45.8742,170.5036,15.45,84,100,1.79,NZ,1712786041
191,farsan,32.2569,50.561,11.02,77,7,3.15,IR,1712786041
192,gondar,12.6,37.4667,18.86,15,12,2.36,ET,1712786041
193,assab,13.0092,42.7394,27.66,81,1,8.32,ER,1712786041
194,verbilki,56.5333,37.6,15.65,87,78,5.24,RU,1712786041
195,lasem,-6.6922,111.4527,25.5,90,93,1.5,ID,1712786041
196,vilyuchinsk,52.9306,158.4028,4.15,71,83,14.26,RU,1712786041
197,bandarbeyla,9.4942,50.8122,27.48,72,97,3.5,SO,1712786041
198,mukalla,14.5425,49.1242,26.16,74,0,1.72,YE,1712786042
199,oranjemund,-28.55,16.4333,15.39,86,0,5.09,NA,1712786042
200,kapa'a,22.0752,-159.319,28.99,72,0,4.12,US,1712786042
201,daru,-9.0763,143.2092,26.84,88,86,2.35,PG,1712786042
202,ballina,-28.8667,153.5667,17.66,71,0,4.6,AU,1712786042
203,minas de marcona,-15.2119,-75.1103,18.81,75,92,6.96,PE,1712786042
